STM_MW00461	riboflavin biosynthesis protein RibF
NCTC13441_03898	Phospho-N-acetylmuramoyl-pentapeptide-transferase,phospho-N-acetylmuramoyl-pentapeptide-transferase,phospho-N-acetylmuramoyl-pentapeptide-transferase,Glycosyl transferase family 4
ENC_04830	replicative DNA helicase
ERS227112_04672	ICORN_RH20207_annotate_bacteria_04672
BN373_49561	2-polyprenylphenol 6-hydroxylase
SEN2597	30S ribosomal subunit protein S16
ETEC_0959	outer membrane lipoprotein carrier protein
NCTC13441_02820	Malonyl CoA-acyl carrier protein transacylase,(acyl-carrier-protein) S-malonyltransferase,malonyl CoA-acyl carrier protein transacylase,Acyl transferase domain
ERS227112_03410	ICORN_RH20207_annotate_bacteria_03410
NCTC13441_02166	Phenylalanine--tRNA ligase beta subunit,phenylalanyl-tRNA synthetase subunit beta,EMAP domain,phenylalanine--tRNA ligase, beta subunit,B3/4 domain
SL3261_0219	Uridylate kinase
STMMW_40961	UDP-N-acetylenolpyruvoylglucosamine reductase
CS17_00180	uridylate kinase,Uridylate kinase,uridylate kinase,Uridylate kinase,UMP kinase,Amino acid kinase family
SEN0635	apolipoprotein N-acyltransferase
ROD_45271	50S ribosomal subunit protein L17
BN373_00531	single-stranded DNA-binding protein
ENC_25230	LSU ribosomal protein L24P
SL1344_2649	30S ribosomal protein S16. Chloroplast 30S ribosomal protein S16.
SEN3250	50S ribosomal subunit protein L30
ROD_45661	rod shape-determining protein
STMMW_04771	protein-export membrane protein SecD
STM_MW23871	folylpolyglutamate synthase
t0233	acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
SL1344_4405	valyl-tRNA synthetase
BN373_08611	1-deoxy-D-xylulose-5-phosphate synthase
SL3261_0132	cell division protein FtsA
ROD_11841	lipoprotein-releasing system ATP-binding protein
NCTC13441_00392	30S ribosomal protein S5,30S ribosomal protein S5,Ribosomal protein S5,ribosomal protein S5,Ribosomal protein S5, C-terminal domain
ROD_45112	50S ribosomal subunit protein L14
STM_MW34231	50S ribosomal subunit protein L14
BN373_45651	glycyl-tRNA synthetase, beta subunit
SL3261_0918	30S ribosomal protein S1
t1950	probable transport ATP-binding protein MsbA
t3115	3,4-dihydroxy-2-butanone 4-phosphate synthase
SL3261_3621	glycine-tRNA synthetase, alpha subunit
ENC_34370	lipopolysaccharide transport periplasmic protein LptA
ENC_17900	periplasmic chaperone LolA
ERS227112_02145	ICORN_RH20207_annotate_bacteria_02145
ETEC_4604	valyl-tRNA synthetase
ENC_17880	seryl-tRNA synthetase
SEN0614	conserved hypothetical protein
SL1344_3185	RNA polymerase sigma-70 factor
BN373_17111	DNA polymerase III, delta' subunit
SL3261_0937	asparaginyl-tRNA synthetase
NCTC13441_03838	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)
ETEC_0468	6,7-dimethyl-8-ribityllumazine synthase (riboflavin synthase beta chain)
STMMW_44891	probable DNA replication protein
SL3261_0123	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-di a minopimelate ligase
CS17_01462	GTP cyclohydrolase II,GTP cyclohydrolase-2,GTP cyclohydrolase II,GTP cyclohydrolase II,GTP cyclohydrolase II
ERS227112_02431	ICORN_RH20207_annotate_bacteria_02431
CS17_03625	GTPase ObgE,GTP-binding protein Obg,GTPase CgtA,Predicted GTPase, probable translation factor,Obg family GTPase CgtA,GTP1/OBG
ERS227112_02529	ICORN_RH20207_annotate_bacteria_02529
CS17_03619	cell division protein,ATP-dependent zinc metalloprotease FtsH,ATP-dependent metalloprotease,Ribosome-associated chaperone zuotin,ATP-dependent metallopeptidase HflB,Peptidase family M41
STM_MW40961	UDP-N-acetylenolpyruvoylglucosamine reductase
t4514	putative inner membrane protein
STMMW_41051	50S ribosomal subunit protein L7/L12
ROD_25561	50S ribosomal subunit protein L19
t4510	valyl-tRNA synthetase
STM_MW29161	CTP synthetase
SEN2912	Phosphoglycerate kinase
SL1344_3805	chromosomal replication initiator protein
NCTC13441_02966	hypothetical protein,condesin subunit E,Uncharacterized protein involved in chromosome partitioning,MukE-like family
ROD_18061	ribose-phosphate pyrophosphokinase
t4084	50S ribosomal subunit protein L15
SEN0609	penicillin-binding protein 2
ETEC_0168	1-deoxy-D-xylulose 5-phosphate reductoisomerase
ROD_35651	topoisomerase IV subunit A
NCTC13441_00375	50S ribosomal protein L3,50S ribosomal protein L3,Ribosomal protein L3,50S ribosomal protein L3,Ribosomal protein L3
ENC_14180	threonyl-tRNA synthetase /Ser-tRNA(Thr) hydrolase
ETEC_0152	conserved hypothetical protein
SL1344_0676	flavodoxin 1
CS17_01230	malonyl CoA-acyl carrier protein transacylase,Malonyl CoA-acyl carrier protein transacylase,(acyl-carrier-protein) S-malonyltransferase,malonyl CoA-acyl carrier protein transacylase,Acyl transferase domain
BN373_41261	O-sialoglycoprotein endopeptidase
SEN3928	pantothenate kinase
t3658	glucosamine--fructose-6-phosphate aminotransferase
BN373_42601	lipopolysaccharide ABC transporter, periplasmic lipopolysaccharide-binding protein
ENC_15470	[Acyl-carrier-protein
ERS227112_01550	ICORN_RH20207_annotate_bacteria_01550
SL1344_3148	topoisomerase IV subunit A
SEN2347	folylpolyglutamate synthase
BN373_06871	lipid-A-disaccharide synthase
BN373_35901	co-chaperone GrpE
NCTC13441_02633	Outer-membrane lipoprotein lolB precursor,outer membrane lipoprotein LolB,outer membrane lipoprotein LolB,Outer membrane lipoprotein LolB
STM_MW29151	enolase
CS17_03754	50S ribosomal protein L4,50S ribosomal protein L4,50S ribosomal protein L4,50S ribosomal protein L4,Ribosomal protein L4/L1 family
CS17_03749	30S ribosomal protein S3,30S ribosomal protein S3,30S ribosomal protein S3,Uncharacterized conserved protein,ribosomal protein S3,Ribosomal protein S3, C-terminal domain
CS17_00977	lipid A export permease MsbA,Lipid A export ATP-binding/permease protein MsbA,lipid transporter ATP-binding/permease protein,ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain,lipid A export permease/ATP-binding protein MsbA,ABC transporter transmembrane region
ROD_04631	riboflavin biosynthesis protein
SEN3261	50S ribosomal subunit protein L16
ROD_17231	GTP cyclohydrolase II
NCTC13441_04035	DNA replication protein dnaC,DNA replication protein DnaC,DNA replication protein,chromosomal replication initiator protein DnaA,IstB-like ATP binding protein
ETEC_0662	rod shape-determining protein RodA
BN373_46221	phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase
ETEC_0172	outer membrane protein assembly factor
ENC_04160	UDP-N-acetylglucosamine pyrophosphorylase /glucosamine-1-phosphate N-acetyltransferase
SL1344_1706	Outer-membrane lipoprotein lolB precursor.
ENC_25280	SSU ribosomal protein S3P
STM_MW02101	conserved hypothetical protein
SEN0134	cell division protein FtsZ
SEN1830	ABC transporter integral membrane subunit
ROD_50671	phosphoglycerate kinase
SL3261_2381	Glutamyl-tRNA synthetase
NCTC13441_00381	30S ribosomal protein S3,30S ribosomal protein S3,Uncharacterized conserved protein,ribosomal protein S3,Ribosomal protein S3, C-terminal domain
t3295	biotin carboxylase
ERS227112_00603	ICORN_RH20207_annotate_bacteria_00603
ENC_13080	tyrosyl-tRNA synthetase
CS17_03761	translation elongation factor G,Elongation factor G,elongation factor G,GTPases - translation elongation factors,translation elongation factor G,Elongation factor Tu GTP binding domain
SEN1708	50S ribosomal subunit protein L20
ETEC_2888	alanyl-tRNA synthetase
STMMW_30511	MAT
ERS227112_01431	ICORN_RH20207_annotate_bacteria_01431
SL1344_3345	rod shape-determining protein
ROD_25571	tRNA (guanine-N(1)-)-methyltransferase
STMMW_28941	conserved hypothetical protein
ROD_40251	chromosomal replication initiator protein
t4085	preprotein translocase subunit
STM_MW33181	probable ABC transport protein, ATP-binding component
SL1344_0627	rod shape-determining protein RodA
BN373_38671	prolipoprotein diacylglyceryl transferase
STMMW_01381	cell division protein FtsA
ERS227112_00597	ICORN_RH20207_annotate_bacteria_00597
ROD_30631	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
CS17_00194	DNA polymerase III subunit alpha,DNA polymerase III subunit alpha,DNA polymerase III subunit alpha,DNA polymerase III, alpha subunit,Bacterial DNA polymerase III alpha subunit
ROD_06851	glutaminyl-tRNA synthetase
SL3261_0227	UDP-3-O-[3-hydroxymyristoyl
CS17_00178	30S ribosomal protein S2,30S ribosomal protein S2,30S ribosomal protein S2,Outer membrane protein/protective antigen OMA87,ribosomal protein S2,Ribosomal protein S2
ROD_32051	10 kda chaperonin (protein Cpn10) (groES protein)
t2189	glutaminyl-tRNA synthetase
ROD_00991	cell division protein FtsQ
ENC_17580	bacterial condensin subunit MukB
SL1344_0046	riboflavin biosynthesis protein RibF
BN373_02321	inorganic diphosphatase
SL1344_2241	DNA gyrase subunit A
ERS227112_03592	ICORN_RH20207_annotate_bacteria_03592
ETEC_3313	3,4-dihydroxy-2-butanone-4-phosphate synthase
ERS227112_02483	ICORN_RH20207_annotate_bacteria_02483
CS17_04184	glucosamine--fructose-6-phosphate aminotransferase,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing
ROD_09901	chromosome partition protein
SEN0390	protein-export membrane protein SecD
ENC_46050	Cell division septal protein
ENC_38500	glutamyl-tRNA synthetase
NCTC13441_00503	UDP-N-acetylglucosamine 1-carboxyvinyltransferase,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,ATP phosphoribosyltransferase,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
SEN2602	heat shock protein GrpE (heat shock protein b25.3) (hsp24)
CS17_00182	1-deoxy-D-xylulose 5-phosphate reductoisomerase,1-deoxy-D-xylulose 5-phosphate reductoisomerase,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Translation elongation factor Ts,1-deoxy-D-xylulose 5-phosphate reductoisomerase,1-deoxy-D-xylulose 5-phosphate reductoisomerase
CS17_00444	riboflavin biosynthesis protein,Riboflavin biosynthesis protein RibD,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase,Pyrimidine deaminase,riboflavin biosynthesis protein RibD,RibD C-terminal domain
NCTC13441_00379	30S ribosomal protein S19,30S ribosomal protein S19,Ribosomal protein S19,ribosomal protein S19,Ribosomal protein S19
CS17_00555	5,10-methylene-tetrahydrofolate dehydrogenase,Bifunctional protein FolD,bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase,Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain
NCTC13441_03788	tRNA(Ile)-lysidine synthase,tRNA(Ile)-lysidine synthetase,Predicted ATPase of the PP-loop superfamily implicated in cell cycle control,tRNA(Ile)-lysidine synthetase,PP-loop family
ERS227112_03429	ICORN_RH20207_annotate_bacteria_03429
STM_MW18121	conserved hypothetical protein
NCTC13441_02474	Enoyl-[acyl-carrier-protein
ETEC_4369	single-stranded binding protein
ENC_02530	Phosphopantetheine adenylyltransferase
ETEC_3562	50S ribosomal subunit protein L14
STM_MW33781	biotin carboxylase
ROD_09485	translation initiation factor IF-1
SL3261_1156	ABC transporter integral membrane subunit
SEN3562	5'guanylate kinase
SL1344_1154	ABC transporter integral membrane subunit
CS17_00993	asparaginyl-tRNA synthetase,Asparagine--tRNA ligase,asparaginyl-tRNA synthetase,Aspartyl/asparaginyl-tRNA synthetases,asparagine--tRNA ligase,tRNA synthetases class II (D, K and N)
SL1344_0634	DNA polymerase III, delta subunit
STM_MW02321	UDP-3-O-[3-hydroxymyristoyl
STMMW_30581	conserved hypothetical protein
ETEC_0086	UDP-N-acetylmuramoylalanine--D-glutamate ligase
ENC_01470	pantothenate kinase
ROD_27281	acetyl-coenzyme A carboxylase carboxyl transferase beta subunit
BN373_49291	porphobilinogen deaminase
ENC_34240	Geranylgeranyl pyrophosphate synthase
CS17_03643	lipopolysaccharide ABC transporter,Lipopolysaccharide export system ATP-binding protein LptB,lipopolysaccharide ABC transporter ATP-binding protein,Uncharacterized protein conserved in bacteria,daunorubicin resistance ABC transporter, ATP-binding protein,ABC transporter
ROD_25631	heat shock protein (heat shock protein B25.3)
BN373_25561	tyrosyl-tRNA synthetase
STM_MW01331	cell division protein FtsW
STMMW_07311	apolipoprotein N-acyltransferase
SL3261_3148	topoisomerase IV subunit A
STM_MW38271	putative membrane protein
STM_MW30581	conserved hypothetical protein
BN373_43571	ribosomal protein S10
ENC_34200	Obg family GTPase CgtA
STM_MW07311	apolipoprotein N-acyltransferase
ETEC_2451	bifunctional FolC protein [includes: folylpolyglutamate synthase; dihydrofolate synthase
BN373_05021	isoleucyl-tRNA synthetase
ERS227112_03439	ICORN_RH20207_annotate_bacteria_03439
SEN0188	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
t2222	conserved hypothetical protein
SEN0223	30S ribosomal protein S2
NCTC13441_03799	Omp85,outer membrane protein assembly factor YaeT,Outer membrane protein/protective antigen OMA87,outer membrane protein assembly complex, YaeT protein,Surface antigen
ETEC_1376	DNA topoisomerase I (omega protein)
ENC_17600	bacterial condensin subunit MukF
SL3261_3926	ubiquinone biosynthesis protein
SL1344_3065	S-adenosylmethionine synthetase
SL3261_3182	possible glycoprotease
NCTC13441_02244	Tyrosine--tRNA ligase,tyrosyl-tRNA synthetase,Tyrosyl-tRNA synthetase,tyrosine--tRNA ligase,tRNA synthetases class I (W and Y)
SL1344_2908	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
t3288	rod shape-determining protein
BN373_17291	lipoprotein releasing system, transmembrane protein LolE
STM_MW34311	50S ribosomal subunit protein L4
STM_MW34271	*old_systematic_id: STM_Mal3265
SEN0045	riboflavin biosynthesis protein RibF
ETEC_1159	acyl carrier protein
NCTC13441_03967	Riboflavin biosynthesis protein ribF,bifunctional riboflavin kinase/FMN adenylyltransferase,FAD synthase,riboflavin biosynthesis protein RibF,FAD synthetase
t3235	conserved hypothetical protein
BN373_35491	GTP-binding protein Era
CS17_03686	rod shape-determining protein,rod shape-determining protein MreC,rod shape-determining protein MreC,rod shape-determining protein MreC
SL1344_0221	1-deoxy-D-xylulose 5-phosphate reductoisomerase
ERS227112_01901	ICORN_RH20207_annotate_bacteria_01901
ERS227112_00470	ICORN_RH20207_annotate_bacteria_00470
NCTC13441_01477	DNA gyrase subunit A,DNA gyrase subunit A,Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit,DNA gyrase, A subunit,DNA gyrase/topoisomerase IV, subunit A
STMMW_38921	transcription termination factor
SEN0225	Uridine monophosphate kinase
SL3261_3391	L18 Ribosomal Protein
ROD_44771	30S ribosomal subunit protein S12
ENC_45970	UDP-N-acetylmuramyl-tripeptide synthetases
ERS227112_01820	ICORN_RH20207_annotate_bacteria_01820
BN373_06791	di-trans,poly-cis-decaprenylcistransferase
BN373_43411	ribosomal protein L6
t4080	50S ribosomal subunit protein L6
NCTC13441_02160	Threonine--tRNA ligase,threonyl-tRNA synthetase,Prolyl-tRNA synthetase,threonine--tRNA ligase,tRNA synthetase class II core domain (G, H, P, S and T)
STMMW_02271	undecaprenyl pyrophosphate synthetase
BN373_18991	GTP cyclohydrolase II
STM_MW26911	signal recognition particle protein
BN373_40281	S-adenosylmethionine synthetase
t0225	outer membrane protein precursor
t4161	single-strand DNA-binding protein
BN373_37521	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
CS17_04532	replicative DNA helicase,Replicative DNA helicase,replicative DNA helicase,Replicative DNA helicase,replicative DNA helicase,DnaB-like helicase C terminal domain
NCTC13441_00388	30S ribosomal protein S14,30S ribosomal protein S14,Ribosomal protein S14p/S29e
ERS227112_02436	ICORN_RH20207_annotate_bacteria_02436
NCTC13441_03900	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase,UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase,Folylpolyglutamate synthase,UDP-N-acetylmuramyl-tripeptide synthetase,Mur ligase middle domain
NCTC13441_01131	p48,signal recognition particle protein,Signal recognition particle GTPase,signal recognition particle protein,SRP54-type protein, GTPase domain
ETEC_0091	cell division protein FtsQ
STMMW_34381	elongation factor G
CS17_03162	prolipoprotein diacylglyceryl transferase,Prolipoprotein diacylglyceryl transferase,prolipoprotein diacylglyceryl transferase,prolipoprotein diacylglyceryl transferase,Prolipoprotein diacylglyceryl transferase
ERS227112_01713	ICORN_RH20207_annotate_bacteria_01713
BN373_43511	ribosomal protein L22
ROD_13411	Phenylalanyl-tRNA synthetase alpha chain
ETEC_3804	glycine-tRNA synthetase, alpha subunit
STM_MW28941	conserved hypothetical protein
BN373_27631	ribosomal protein L20
SL3261_1131	malonyl CoA-acyl carrier protein transacylase
SEN2668	Alanyl-tRNA synthetase
ETEC_2452	acetyl-coenzyme A carboxylase carboxyl transferase beta subunit
STMMW_36441	glycine-tRNA synthetase, beta subunit
SEN2254	DNA gyrase subunit A
ENC_07580	outer membrane lipoprotein LolB
SEN0398	riboflavin biosynthesis protein RibD
STMMW_02221	30S ribosomal protein S2
ENC_45980	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
t0221	1-deoxy-D-xylulose 5-phosphate reductoisomerase
BN373_43461	50S ribosomal protein L14
SL3261_2647	tRNA (guanine-N1) methyltransferase
BN373_35861	ribosomal protein S16
STM_MW17701	outer membrane lipoprotein
STMMW_34101	30S ribosomal subunit protein S11
STMMW_34181	50S ribosomal subunit protein L6
ENC_46080	UDP-3-O-[3-hydroxymyristoyl
SL3261_1271	phenylalanyl-tRNA synthetase alpha chain
ETEC_1392	enoyl-[acyl-carrier-protein
STM_MW07131	leucyl-tRNA synthetase
ETEC_3594	30S ribosomal subunit protein S12
ROD_25601	signal recognition particle protein
ERS227112_03591	ICORN_RH20207_annotate_bacteria_03591
ETEC_3556	50S ribosomal subunit protein L18
ERS227112_03568	ICORN_RH20207_annotate_bacteria_03568
ETEC_3289	1-acyl-glycerol-3-phosphate acyltransferase
STM_MW26871	50S ribosomal subunit protein L19
ENC_47300	glycyl-tRNA synthetase alpha chain
SEN0885	30S ribosomal protein S1
ENC_25140	protein translocase subunit secY/sec61 alpha
ETEC_2816	30S ribosomal subunit protein S16
SEN2409	cell division protein
ENC_35050	Biotin carboxylase
CS17_04152	DNA polymerase III,DNA polymerase III subunit beta,DNA polymerase III subunit beta,DNA polymerase III, beta subunit,DNA polymerase III beta subunit, N-terminal domain
t0132	UDP-N-acetylglucosamine:N-acetylmuramyl-(pentapeptide)-pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
STMMW_24371	GluRS
t0146	conserved hypothetical protein
CS17_01899	50S ribosomal protein L20,50S ribosomal protein L20,50S ribosomal protein L20,ribosomal protein L20,Ribosomal protein L20
STMMW_09731	outer membrane lipoprotein carrier protein precursor
BN373_49781	ribosomal protein L10
STM_MW07041	rod shape-determining protein RodA
t1941	KicA protein
ENC_17590	Uncharacterized protein involved in chromosome partitioning
ETEC_3566	30S ribosomal subunit protein S3
ROD_45041	50S ribosomal subunit protein L23
CS17_00026	lipoprotein signal peptidase,Lipoprotein signal peptidase,lipoprotein signal peptidase,signal peptidase II,Signal peptidase (SPase) II
BN373_35461	holo-(acyl-carrier-protein) synthase
ERS227112_03438	ICORN_RH20207_annotate_bacteria_03438
STM_MW10111	asparaginyl-tRNA synthetase
STM_MW12041	3-oxoacyl-[acyl-carrier protein
BN373_15731	asparaginyl-tRNA synthetase
SEN0650	glutaminyl-tRNA synthetase
SEN1262	Glutamyl-tRNA reductase
t2441	1-deoxyxylulose-5-phosphate synthase
ETEC_3451	50S ribosomal protein L21
BN373_05031	signal peptidase II
BN373_42471	octaprenyl-diphosphate synthase
SL1344_2932	CTP synthase
ETEC_0083	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-dia minopimelate ligase
ENC_46940	uridylate kinase
SL3261_3384	30S ribosomal subunit protein S11
BN373_05831	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
BN373_15391	outer membrane lipoprotein carrier protein LolA
STMMW_41041	50S ribosomal subunit protein L10
ENC_25310	ribosomal protein L2, bacterial/organellar
SL1344_0127	cell division protein FtsW
ROD_28181	glutamyl-tRNA synthetase
STM_MW39491	conserved hypothetical protein
STMMW_39091	porphobilinogen deaminase
ROD_06531	penicillin-binding protein 2
SEN2148	Methionyl-tRNA synthetase
SL3261_3277	octaprenyl-diphosphate synthase
SL1344_4326	30s ribosomal subunit protein S18
ETEC_4021	bifunctional protein GlmU [includes: UDP-N-acetylglucosamine pyrophosphorylase; glucosamine-1-phosphate N-acetyltransferase
ETEC_3118	phosphoglycerate kinase
BN373_06751	translation elongation factor Ts
STM_MW38461	glucosamine--fructose-6-phosphate aminotransferase
t2221	DNA polymerase III, delta subunit
ERS227112_00886	ICORN_RH20207_annotate_bacteria_00886
STMMW_34071	50S ribosomal subunit protein L17
SL1344_0668	glutaminyl-tRNA synthetase
ERS227112_01632	ICORN_RH20207_annotate_bacteria_01632
t1218	phenylalanyl-tRNA synthetase alpha chain
BN373_43521	ribosomal protein S19
ERS227112_02430	ICORN_RH20207_annotate_bacteria_02430
NCTC13441_01306	Cell division protein ZipA,cell division protein ZipA,cell division protein ZipA,ZipA, C-terminal FtsZ-binding domain
STMMW_01301	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diami nopimelate--D-alan alanyl ligase
SL3261_4081	UDP-N-acetylenolpyruvoylglucosamine reductase
SEN2940	conserved hypothetical protein
ERS227112_02443	ICORN_RH20207_annotate_bacteria_02443
CS17_04153	chromosomal replication initiation protein,Chromosomal replication initiator protein DnaA,chromosomal replication initiation protein,DNA replication protein,chromosomal replication initiator protein DnaA,Bacterial dnaA protein
CS17_03285	phosphoglycerate kinase,Phosphoglycerate kinase,phosphoglycerate kinase,3-phosphoglycerate kinase,Phosphoglycerate kinase
ETEC_4548	30S ribosomal subunit protein S18
ENC_25120	SSU ribosomal protein S11P
ENC_25390	translation elongation factor 2 (EF-2/EF-G)
CS17_01236	thymidylate kinase,Thymidylate kinase,thymidylate kinase,thymidylate kinase,Thymidylate kinase
NCTC13441_00810	S-adenosylmethionine synthase,S-adenosylmethionine synthetase,methionine adenosyltransferase,S-adenosylmethionine synthetase, C-terminal domain
ERS227112_02512	ICORN_RH20207_annotate_bacteria_02512
SL3261_0416	1-deoxyxylulose-5-phosphate synthase
ROD_46191	putative organic solvent tolerance ABC transporter, ATP-binding protein
SL1344_0131	cell division protein FtsQ
STM_MW34161	30S ribosomal subunit protein S5
ENC_32540	DNA topoisomerase IV subunit A
SL3261_3045	phosphoglycerate kinase
NCTC13441_02814	Thymidylate kinase,thymidylate kinase,thymidylate kinase,Thymidylate kinase
ENC_07550	ribose-phosphate pyrophosphokinase
ERS227112_04498	ICORN_RH20207_annotate_bacteria_04498
STM_MW07441	glutaminyl-tRNA synthetase
t4071	30S ribosomal subunit protein S3
ROD_09551	outer membrane lipoprotein carrier protein
SL3261_2910	Cell division protein ftsB homolog.
ROD_46451	phosphoglucosamine mutase
BN373_05011	riboflavin biosynthesis protein RibF
t0130	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
SEN2933	S-adenosylmethionine synthetase
ROD_45021	50S ribosomal subunit protein L3
CS17_00189	UDP-3-O-[3-hydroxymyristoyl
BN373_46171	pantetheine-phosphate adenylyltransferase
ENC_01760	2-octaprenylphenol hydroxylase
BN373_05821	cell division protein FtsW
SL3261_1155	ABC transporter ATP-binding subunit
ROD_39131	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
ENC_34480	Predicted permeases
SL1344_2381	Glutamyl-tRNA synthetase
CS17_00451	1-deoxy-D-xylulose-5-phosphate synthase,1-deoxy-D-xylulose-5-phosphate synthase,1-deoxy-D-xylulose-5-phosphate synthase,Transketolase, C-terminal subunit,1-deoxy-D-xylulose-5-phosphate synthase,Transketolase, pyrimidine binding domain
NCTC13441_00647	3,4-dihydroxy-2-butanone 4-phosphate synthase,3,4-dihydroxy-2-butanone 4-phosphate synthase,3,4-dihydroxy-2-butanone-4-phosphate synthase,3,4-dihydroxy-2-butanone 4-phosphate synthase
BN373_28291	glutamyl-tRNA reductase
SEN1711	Threonyl-tRNA synthetase
NCTC13441_03890	Cell division protein FtsZ,cell division protein FtsZ,Cell division GTPase,cell division protein FtsZ,FtsZ family, C-terminal domain
ENC_17680	lipid-A-disaccharide kinase
SEN3931	preprotein translocase SecE subunit
t3793	phosphopantetheine adenylyltransferase
NCTC13441_00049	Phosphopantetheine adenylyltransferase,phosphopantetheine adenylyltransferase,Predicted ATPase/kinase involved in NAD metabolism,pantetheine-phosphate adenylyltransferase,Cytidylyltransferase
ROD_37701	transcription antitermination protein
SEN0243	cell cycle protein MesJ
NCTC13441_00044	DNA/pantothenate metabolism flavoprotein,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase,Phosphopantothenoylcysteine synthetase/decarboxylase,phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase,DNA / pantothenate metabolism flavoprotein
STM_MW38231	chromosomal replication initiator protein
SL1344_0929	killing factor KicB
SEN0904	asparaginyl-tRNA synthetase
ENC_34220	LSU ribosomal protein L27P
CS17_04442	preprotein translocase subunit SecE,Preprotein translocase subunit SecE,preprotein translocase subunit SecE,preprotein translocase, SecE subunit,SecE/Sec61-gamma subunits of protein translocation complex
STMMW_34161	30S ribosomal subunit protein S5
STMMW_25961	GTP-binding protein
STM_MW33001	probable GTP-binding protein
BN373_49621	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
ERS227112_03446	ICORN_RH20207_annotate_bacteria_03446
SL3261_2655	conserved hypothetical protein
SL1344_1155	ABC transporter ATP-binding subunit
ROD_11601	Thymidylate kinase
ERS227112_03866	ICORN_RH20207_annotate_bacteria_03866
SL1344_3390	30S ribosomal subunit protein S5
SL1344_0931	cell division protein
CS17_04828	DNA replication protein,DNA replication protein dnaC,DNA replication protein DnaC,DNA replication protein,chromosomal replication initiator protein DnaA,IstB-like ATP binding protein
NCTC13441_01134	tRNA (guanine-N(1)-)-methyltransferase,tRNA (guanine-N(1)-)-methyltransferase,tRNA-(guanine-N1)-methyltransferase,tRNA (guanine(37)-N(1))-methyltransferase,tRNA (Guanine-1)-methyltransferase
BN373_05841	UDP-N-acetylmuramate--alanine ligase
SEN0898	cell division protein
NCTC13441_00994	CTP synthase,CTP synthetase,Carbamoylphosphate synthase small subunit,CTP synthase,CTP synthase N-terminus
ETEC_1157	malonyl CoA-acyl carrier protein transacylase
ROD_13421	Phenylalanyl-tRNA synthetase beta chain
STMMW_35281	aspartate-semialdehyde dehydrogenase
ERS227112_01171	ICORN_RH20207_annotate_bacteria_01171
ROD_35901	3,4-dihydroxy-2-butanone 4-phosphate synthase
BN373_42991	rod shape-determining protein MreC
CS17_03628	50S ribosomal protein L21,50S ribosomal protein L21,50S ribosomal protein L21,ribosomal protein L21,Ribosomal prokaryotic L21 protein
ETEC_3554	50S ribosomal subunit protein L30
NCTC13441_04508	DNA-directed RNA polymerase subunit beta,DNA-directed RNA polymerase subunit beta,DNA-directed RNA polymerase, beta subunit,RNA polymerase Rpb2, domain 6
BN373_06891	DNA polymerase III, alpha subunit
SL1344_1137	Thymidylate kinase
SL3261_3268	cell division protein
SEN0889	tetraacyldisaccharide 4'-kinase
ENC_47110	tRNA(Ile)-lysidine synthetase, N-terminal domain/tRNA(Ile)-lysidine synthetase, C-terminal domain
ENC_45430	Isoleucyl-tRNA synthetase
