EMBL_ACC	LEN_(MB)	LEN_(BPs)	NUM_GENES	GC_CONTENT	NCBI_TAXONOMY	SPECIES_NAME	DESCRIPTION
AJ235269.1	1.1MB	1111523	162512	0.29	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Rickettsiaceae; Rickettsieae; Rickettsia; typhus group.	Rickettsia prowazekii str. Madrid E	Rickettsia prowazekii str. Madrid E, complete genome
AJ749949.2	1.9MB	1892775	309365	0.32	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales;Francisellaceae; Francisella.	Francisella tularensis subsp. tularensis SCHU S4	Francisella tularensis subsp. tularensis SCHU S4 complete genome
AJ938182.1	2.7MB	2742531	450577	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus RF122	Staphylococcus aureus RF122 complete genome
AJ965256.1	1.4MB	1395502	328956	0.47	Bacteria; Chloroflexi; Dehalococcoidia; Dehalococcoidales;Dehalococcoidaceae; Dehalococcoides.	Dehalococcoides mccartyi CBDB1	Dehalococcoides sp. CBDB1 complete genome
AL009126.3	4.2MB	4215606	915112	0.44	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	Bacillus subtilis subsp. subtilis str. 168	Bacillus subtilis subsp. subtilis str. 168 complete genome.
AL111168.1	1.6MB	1641481	249577	0.31	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Campylobacteraceae; Campylobacter.	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	Campylobacter jejuni subsp. jejuni NCTC 11168 complete genome.
AL123456.3	4.4MB	4411532	1444614	0.66	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium; Mycobacterium tuberculosis complex.	Mycobacterium tuberculosis H37Rv	Mycobacterium tuberculosis H37Rv complete genome.
AL157959.1	2.2MB	2184406	566118	0.52	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae;Neisseria.	Neisseria meningitidis Z2491	Neisseria meningitidis serogroup A strain Z2491 complete genome
AL445566.1	1.0MB	963879	128245	0.27	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma pulmonis UAB CTIP	Mycoplasma pulmonis UAB CTIP, complete genome
AL450380.1	3.3MB	3268203	950202	0.58	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium.	Mycobacterium leprae TN	Mycobacterium leprae TN, complete genome
AL513382.1	4.8MB	4809037	1254485	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Typhi str. CT18	Salmonella enterica subsp. enterica serovar Typhi str. CT18, complete
AL590842.1	4.7MB	4653728	1114185	0.48	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Yersinia.	Yersinia pestis CO92	Yersinia pestis CO92 complete genome
AL591688.1	3.7MB	3654135	1141634	0.63	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae;Sinorhizobium/Ensifer group; Sinorhizobium.	Sinorhizobium meliloti 1021	Sinorhizobium meliloti 1021 complete chromosome
AL591824.1	2.9MB	2944528	555061	0.38	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	Listeria monocytogenes EGD-e	Listeria monocytogenes EGD-e, complete genome
AL592022.1	3.0MB	3011208	559189	0.37	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	Listeria innocua Clip11262	Listeria innocua Clip11262 complete genome
AL645882.2	8.7MB	8667507	3129638	0.72	Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae;Streptomyces; Streptomyces albidoflavus group.	Streptomyces coelicolor	Streptomyces coelicolor A3(2) complete genome
AL646052.1	3.7MB	3716413	1252933	0.67	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Ralstonia.	Ralstonia solanacearum GMI1000	Ralstonia solanacearum GMI1000 chromosome complete sequence
AL732656.1	2.2MB	2211485	393568	0.36	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus agalactiae NEM316	Streptococcus agalactiae NEM316 complete genome
AL935263.2	3.3MB	3308273	734000	0.44	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus plantarum WCFS1	Lactobacillus plantarum WCFS1 complete genome
AL954747.1	2.8MB	2812094	699395	0.51	Bacteria; Proteobacteria; Betaproteobacteria; Nitrosomonadales;Nitrosomonadaceae; Nitrosomonas.	Nitrosomonas europaea ATCC 19718	Nitrosomonas europaea ATCC 19718, complete genome
AM039952.1	5.2MB	5178466	1678315	0.65	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales;Xanthomonadaceae; Xanthomonas.	Xanthomonas euvesicatoria	Xanthomonas campestris pv. vesicatoria complete genome
AM040264.1	2.1MB	2121359	604529	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae;Brucella.	Brucella abortus 2308	Brucella melitensis biovar Abortus 2308 chromosome I, complete sequence,
AM040265.1	1.2MB	1156948	334302	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae;Brucella.	Brucella abortus 2308	Brucella melitensis biovar Abortus 2308 chromosome II, complete sequence,
AM167904.1	3.7MB	3732255	1146999	0.62	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Alcaligenaceae; Bordetella.	Bordetella avium 197N	Bordetella avium 197N complete genome
AM180252.1	1.5MB	1457619	243930	0.33	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales;Desulfovibrionaceae; Lawsonia.	Lawsonia intracellularis PHE/MN1-00	Lawsonia intracellularis PHE/MN1-00
AM180355.1	4.3MB	4290252	628741	0.29	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae;Peptoclostridium.	Peptoclostridium difficile 630	Clostridium difficile 630 complete genome
AM181176.4	6.7MB	6722539	2034487	0.61	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas fluorescens SBW25	Pseudomonas fluorescens SBW25 complete genome
AM233362.1	1.9MB	1895994	308366	0.32	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales;Francisellaceae; Francisella.	Francisella tularensis subsp. holarctica LVS	Francisella tularensis subsp. holarctica LVS complete genome
AM236080.1	5.1MB	5057142	1526239	0.61	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae;Rhizobium/Agrobacterium group; Rhizobium.	Rhizobium leguminosarum bv. viciae 3841	Rhizobium leguminosarum bv. viciae chromosome complete genome, strain 3841
AM260479.1	4.1MB	4052032	1347607	0.66	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Cupriavidus.	Ralstonia eutropha H16	Ralstonia eutropha H16 chromosome 1
AM260480.1	2.9MB	2912490	972298	0.67	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Cupriavidus.	Ralstonia eutropha H16	Ralstonia eutropha H16 chromosome 2
AM260522.1	1.6MB	1553927	297065	0.38	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter acinonychis str. Sheeba	Helicobacter acinonychis str. Sheeba complete genome, strain Sheeba
AM260525.1	2.6MB	2619061	488251	0.39	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bartonellaceae;Bartonella.	Bartonella tribocorum CIP 105476	Bartonella tribocorum CIP 105476 complete genome, type strain CIP 105476
AM263198.1	2.8MB	2814130	510263	0.36	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	Listeria welshimeri serovar 6b str. SLCC5334	Listeria welshimeri serovar 6b str. SLCC5334 complete genome
AM286280.1	1.9MB	1892616	309329	0.32	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales;Francisellaceae; Francisella.	Francisella tularensis subsp. tularensis FSC198	Francisella tularensis subsp. tularensis strain FSC 198 complete genome
AM286415.1	4.6MB	4615899	1089631	0.47	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Yersinia.	Yersinia enterocolitica subsp. enterocolitica 8081	Yersinia enterocolitica subsp. enterocolitica 8081 complete genome
AM286690.1	3.1MB	3120143	854673	0.55	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales;Alcanivoracaceae; Alcanivorax.	Alcanivorax borkumensis SK2	Alcanivorax borkumensis SK2, complete genome
AM295007.1	1.8MB	1841271	356610	0.39	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus pyogenes str. Manfredo	Streptococcus pyogenes Manfredo complete genome
AM295250.1	2.6MB	2566424	438966	0.35	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus carnosus subsp. carnosus TM300	Staphylococcus carnosus subsp. carnosus TM300 complete genome
AM398681.2	2.9MB	2860382	461529	0.33	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales;Flavobacteriaceae; Flavobacterium.	Flavobacterium psychrophilum JIP02/86	Flavobacterium psychrophilum JIP02/86 complete genome
AM406670.1	4.4MB	4376040	1482458	0.68	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales;Rhodocyclaceae; Azoarcus.	Azoarcus sp. BH72	Azoarcus sp. BH72, complete genome
AM406671.1	2.5MB	2529478	449723	0.36	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Lactococcus.	Lactococcus lactis subsp. cremoris MG1363	Lactococcus lactis subsp. cremoris MG1363, complete genome
AM408590.1	4.4MB	4374522	1432070	0.66	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium; Mycobacterium tuberculosis complex.	Mycobacterium bovis BCG str. Pasteur 1173P2	Mycobacterium bovis BCG Pasteur 1173P2, complete genome
AM412317.1	3.9MB	3886916	541887	0.28	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae;Clostridium.	Clostridium botulinum A str. ATCC 3502	Clostridium botulinum A str. ATCC 3502 complete genome
AM420293.1	8.2MB	8212805	2916082	0.71	Bacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae;Saccharopolyspora.	Saccharopolyspora erythraea NRRL 2338	Saccharopolyspora erythraea NRRL2338 complete genome
AM421808.1	2.2MB	2194961	570081	0.52	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae;Neisseria.	Neisseria meningitidis FAM18	Neisseria meningitidis serogroup C FAM18 complete genome
AM422018.1	0.9MB	879959	121021	0.27	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae;Candidatus Phytoplasma; 16SrXII (Stolbur group).	Candidatus Phytoplasma australiense	Candidatus Phytoplasma australiense complete genome
AM494475.1	2.1MB	2127051	323316	0.31	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Rickettsiaceae; Rickettsieae; Orientia.	Orientia tsutsugamushi str. Boryong	Orientia tsutsugamushi Boryong complete genome
AM711867.1	3.3MB	3297891	1199456	0.73	Bacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Clavibacter.	Clavibacter michiganensis subsp. michiganensis NCPPB 382	Clavibacter michiganensis subsp. michiganensis NCPPB 382 complete genome
AM743169.1	4.9MB	4851126	1610767	0.66	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales;Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group.	Stenotrophomonas maltophilia K279a	Stenotrophomonas maltophilia K279a complete genome, strain K279a
AM746676.1	13.0MB	13033779	4653678	0.71	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Sorangiineae;Polyangiaceae; Sorangium.	Sorangium cellulosum So ce56	Sorangium cellulosum 'So ce 56' complete genome
AM747720.1	3.9MB	3870082	1288584	0.67	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia; Burkholderia cepacia complex.	Burkholderia cenocepacia J2315	Burkholderia cenocepacia J2315 chromosome 1, complete genome
AM747721.1	3.2MB	3217062	1083325	0.67	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia; Burkholderia cepacia complex.	Burkholderia cenocepacia J2315	Burkholderia cenocepacia J2315 chromosome 2, complete genome
AM747722.1	0.9MB	875977	293453	0.67	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Burkholderiaceae; Burkholderia; Burkholderia cepacia complex.	Burkholderia cenocepacia J2315	Burkholderia cenocepacia J2315 chromosome 3, complete genome
AM849034.1	3.3MB	3258645	1177923	0.73	Bacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Clavibacter.	Clavibacter michiganensis subsp. sepedonicus	Clavibacter michiganensis subsp. sepedonicus complete genome
AM884176.1	1.0MB	1038842	214743	0.41	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydia.	Chlamydia trachomatis 434/Bu	Chlamydia trachomatis strain L2/434/Bu complete genome
AM884177.2	1.0MB	1038863	214742	0.41	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydia.	Chlamydia trachomatis L2b/UCH-1/proctitis	Chlamydia trachomatis L2b/UCH-1/proctitis complete genome
AM889136.1	2.1MB	2145295	559581	0.52	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae;Neisseria.	Neisseria meningitidis alpha14	Neisseria meningitidis alpha14 complete genome
AM889285.1	3.9MB	3944163	1305319	0.66	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Acetobacteraceae; Gluconacetobacter.	Gluconacetobacter diazotrophicus PA1 5	Gluconacetobacter diazotrophicus PAl 5 complete genome
AM902716.1	5.3MB	5287950	1726374	0.65	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales;Alcaligenaceae; Bordetella.	Bordetella petrii	Bordetella petrii strain DSM 12804, complete genome
AM920689.1	5.1MB	5079002	1655679	0.65	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales;Xanthomonadaceae; Xanthomonas.	Xanthomonas campestris pv. campestris	Xanthomonas campestris pv. campestris complete genome, strain B100
AM933172.1	4.7MB	4685848	1220499	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109
AM933173.1	4.7MB	4658697	1219531	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91 complete
AM942444.1	2.4MB	2369219	757668	0.64	Bacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae;Corynebacterium.	Corynebacterium urealyticum DSM 7109	Corynebacterium urealyticum DSM 7109 complete genome
AM942759.1	4.1MB	4063606	788214	0.39	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Proteus.	Proteus mirabilis	Proteus mirabilis strain HI4320, complete genome
AM946015.1	1.9MB	1852352	339562	0.37	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus uberis 0140J	Streptococcus uberis 0140J complete genome
AM946016.1	2.0MB	2007491	407522	0.41	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus suis P1/7	Streptococcus suis P1/7 complete genome
AM946981.2	4.6MB	4558947	1157625	0.51	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Escherichia.	Escherichia coli BL21(DE3)	Escherichia coli BL21(DE3), complete genome
AM990992.1	2.9MB	2872582	473801	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus aureus subsp. aureus ST398	Staphylococcus aureus subsp. aureus ST398 complete genome
AM999887.1	1.5MB	1482455	251836	0.34	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Anaplasmataceae; Wolbachieae; Wolbachia.	Wolbachia endosymbiont of Culex quinquefasciatus Pel	Wolbachia endosymbiont of Culex quinquefasciatus Pel strain wPip complete
AP006618.1	6.0MB	6021225	2135311	0.71	Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Nocardia.	Nocardia farcinica IFM 10152	Nocardia farcinica IFM 10152 DNA, complete genome.
AP006627.1	4.3MB	4303871	961023	0.45	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	Bacillus clausii KSM-K16	Bacillus clausii KSM-K16 DNA, complete genome.
AP006628.2	0.9MB	853092	117861	0.28	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae;Candidatus Phytoplasma; Candidatus Phytoplasma asteris.	Onion yellows phytoplasma OY-M	Onion yellows phytoplasma OY-M DNA, complete genome.
AP006716.1	2.7MB	2685015	443072	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus haemolyticus JCSC1435	Staphylococcus haemolyticus JCSC1435 DNA, complete genome.
AP006725.1	5.2MB	5248520	1514738	0.58	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Klebsiella.	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 DNA, complete genome.
AP006840.1	3.6MB	3566135	1223020	0.69	Bacteria; Firmicutes; Clostridia; Clostridiales; Symbiobacteriaceae;Symbiobacterium.	Symbiobacterium thermophilum IAM 14863	Symbiobacterium thermophilum IAM 14863 DNA, complete genome.
AP006841.1	5.3MB	5277274	1140982	0.43	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae;Bacteroides.	Bacteroides fragilis YCH46	Bacteroides fragilis YCH46 DNA, complete genome.
AP006861.1	1.2MB	1166239	230133	0.39	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydophila.	Chlamydophila felis Fe/C-56	Chlamydophila felis Fe/C-56 DNA, complete genome.
AP007209.1	5.2MB	5221581	924495	0.36	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus;Bacillus cereus group.	Bacillus cereus NC7401	Bacillus cereus NC7401 genomic DNA, complete genome.
AP007255.1	5.0MB	4967148	1611991	0.65	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;Rhodospirillaceae; Magnetospirillum.	Magnetospirillum magneticum AMB-1	Magnetospirillum magneticum AMB-1 DNA, complete genome.
AP007281.1	2.0MB	2039414	400260	0.39	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus reuteri JCM 1112	Lactobacillus reuteri JCM 1112 DNA, complete genome.
AP008226.1	1.8MB	1849742	639653	0.70	Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus.	Thermus thermophilus HB8	Thermus thermophilus HB8 genomic DNA, complete genome.
AP008229.1	4.9MB	4940217	1570648	0.64	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales;Xanthomonadaceae; Xanthomonas.	Xanthomonas oryzae pv. oryzae MAFF 311018	Xanthomonas oryzae pv. oryzae MAFF 311018 DNA, complete genome.
AP008230.1	5.7MB	5727534	1302954	0.47	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae;Desulfitobacterium.	Desulfitobacterium hafniense Y51	Desulfitobacterium hafniense Y51 DNA, complete genome.
AP008231.1	2.7MB	2696255	747947	0.55	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;Synechococcus.	Synechococcus elongatus PCC 6301	Synechococcus elongatus PCC 6301 DNA, complete genome.
AP008232.1	4.2MB	4171146	1149977	0.55	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Sodalis.	Sodalis glossinidius str. 'morsitans'	Sodalis glossinidius str. 'morsitans' DNA, complete genome.
AP008934.1	2.5MB	2516575	420762	0.33	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 DNA, complete
AP008937.1	2.1MB	2098685	542108	0.51	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus fermentum IFO 3956	Lactobacillus fermentum IFO 3956 DNA, complete genome.
AP008955.1	6.3MB	6296436	1487602	0.47	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus.	Brevibacillus brevis NBRC 100599	Brevibacillus brevis NBRC 100599 DNA, complete genome.
AP008957.1	6.5MB	6516310	2029592	0.62	Bacteria; Actinobacteria; Corynebacteriales; Nocardiaceae; Rhodococcus.	Rhodococcus erythropolis PR4	Rhodococcus erythropolis PR4 DNA, complete genome.
AP008971.1	1.8MB	1797577	286752	0.32	Bacteria; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae;Finegoldia.	Finegoldia magna ATCC 29328	Finegoldia magna ATCC 29328 DNA, complete genome.
AP008981.1	2.0MB	2008987	309650	0.31	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Rickettsiaceae; Rickettsieae; Orientia.	Orientia tsutsugamushi str. Ikeda	Orientia tsutsugamushi str. Ikeda DNA, complete genome.
