Gene	Product	log(ii/essentiality+AF8-threshold)													Locus tag													Number of copies of gene in the genome													path+AF8-id	path+AF8-name
		Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655		
cysS	cysteinyl+AC0-tRNA synthetase	+AC0-1.478327567	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	2.3788362879	+AC0-1.1777727289	+AC0-0.8029017117	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-09711	ERS227112+AF8-02833	ROD+AF8-05581	SL1344+AF8-0530	SL3261+AF8-0530	STMMW+AF8-06051	STM+AF8-MW06051	SEN0518	t2324	EC958+AF8-0665	NCTC13441+AF8-03449	BW25113+AF8-0526	b0526	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
fmt	methionyl+AC0-tRNA formyltransferase	0.4000044	+AC0-4.5	+AC0-1.176831191	+AC0-0.8231554014	+AC0-1.8029207319	+AC0-0.9344015259	+AC0-4.5	0.3222205386	+AC0-1.5959106429	+AC0-1.3340740197	+AC0-2.0820822851	+AC0-4.5	+AC0-4.5	BN373+AF8-43241	ERS227112+AF8-00898	ROD+AF8-45341	SL1344+AF8-3374	SL3261+AF8-3374	STMMW+AF8-34001	STM+AF8-MW34001	SEN3235	t4097	EC958+AF8-3681	NCTC13441+AF8-00408	BW25113+AF8-3288	b3288	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
glnS	glutaminyl+AC0-tRNA synthetase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.3998310956	+AC0-1.5964244345	+AC0-4.5	+AC0-0.5275326734	+AC0-4.5	+AC0-2.5452804698	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-12741	ERS227112+AF8-03143	ROD+AF8-06851	SL1344+AF8-0668	SL3261+AF8-0668	STMMW+AF8-07441	STM+AF8-MW07441	SEN0650	t2189	EC958+AF8-0798	NCTC13441+AF8-03311	BW25113+AF8-0680	b0680	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
gltX	glutamyl+AC0-tRNA synthetase	+AC0-4.5	+AC0-4.5	+AC0-2.0313295291	+AC0-2.5673041309	+AC0-4.5	+AC0-2.1579328484	+AC0-4.5	+AC0-1.1639284228	+AC0-2.1518395879	+AC0-1.3172383107	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-34121	ERS227112+AF8-03829	ROD+AF8-28181	SL1344+AF8-2381	SL3261+AF8-2381	STMMW+AF8-24371	STM+AF8-MW24371	SEN2399	t0442	EC958+AF8-5016	NCTC13441+AF8-01319	BW25113+AF8-2400	b2400	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
glyQ	glycyl+AC0-tRNA synthetase, alpha subunit	+AC0-1.6457022972	+AC0-4.5	+AC0-1.2534759807	+AC0-2.5691985089	+AC0-4.5	+AC0-2.5329102262	+AC0-1.0925710477	+AC0-1.1512861292	+AC0-1.0140987957	+AC0-2.6311263744	+AC0-4.5	+AC0-1.2090455776	+AC0-4.5	BN373+AF8-45661	ERS227112+AF8-00656	ROD+AF8-42461	SL1344+AF8-3621	SL3261+AF8-3621	STMMW+AF8-36451	STM+AF8-MW36451	SEN3478	t3863	EC958+AF8-3965	NCTC13441+AF8-00124	BW25113+AF8-3560	b3560	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
glyS	glycyl+AC0-tRNA synthetase, beta subunit	+AC0-1.7707457036	+AC0-4.5	+AC0-4.5	+AC0-2.6948533196	+AC0-2.786494559	+AC0-1.9643564881	+AC0-4.5	+AC0-1.56363845	+AC0-4.5	+AC0-2.0619375816	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-45651	ERS227112+AF8-00657	ROD+AF8-42471	SL1344+AF8-3620	SL3261+AF8-3620	STMMW+AF8-36441	STM+AF8-MW36441	SEN3477	t3864	EC958+AF8-3964	NCTC13441+AF8-00125	BW25113+AF8-3559	b3559	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
hisS	histidyl+AC0-tRNA synthetase	+AC0-0.2893629097	+AC0-4.5	+AC0-4.5	+AC0-2.4704004125	+AC0-4.5	+AC0-0.5985874895	+AC0-4.5	+AC0-1.204818169	+AC0-4.5	+AC0-4.5	+AC0-1.834532731	+AC0-4.5	+AC0-4.5	BN373+AF8-35011	ERS227112+AF8-00071	ROD+AF8-24571	SL1344+AF8-2484	SL3261+AF8-2484	STMMW+AF8-25391	STM+AF8-MW25391	SEN2502	t0334	EC958+AF8-2824	NCTC13441+AF8-01222	BW25113+AF8-2514	b2514	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
ileS	isoleucyl+AC0-tRNA synthetase	+AC0-4.5	+AC0-4.5	+AC0-2.204556079	+AC0-2.7444829671	+AC0-4.5	+AC0-1.6803383117	+AC0-4.5	+AC0-2.0037392907	+AC0-4.5	+AC0-3.5579869786	+AC0-3.038856734	+AC0-4.5	+AC0-4.5	BN373+AF8-05021	ERS227112+AF8-02356	ROD+AF8-00231	SL1344+AF8-0047	SL3261+AF8-0047	STMMW+AF8-00471	STM+AF8-MW00471	SEN0046	t0048	EC958+AF8-0158	NCTC13441+AF8-03966	BW25113+AF8-0026	b0026	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
leuS	leucyl+AC0-tRNA synthetase	+AC0-4.5	+AC0-4.5	+AC0-1.8965986097	+AC0-2.4729499241	+AC0-4.5	+AC0-2.0562340442	+AC0-1.7920479185	+AC0-1.02472255	+AC0-2.7619018971	+AC0-2.3758178773	+AC0-4.5	+AC0-2.3896088063	+AC0-4.5	BN373+AF8-12541	ERS227112+AF8-03116	ROD+AF8-06621	SL1344+AF8-0636	SL3261+AF8-0636	STMMW+AF8-07131	STM+AF8-MW07131	SEN0617	t2219	EC958+AF8-0761	NCTC13441+AF8-03353	BW25113+AF8-0642	b0642	2	2	2	2	2	2	2	2	2	2	2	2	2	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
lysS	lysine tRNA synthetase, constitutive	+AC0-0.2903223191	+AC0-2.3130537979	+AC0-4.5	+AC0-2.8201224101	+AC0-4.5	+AC0-1.5595124487	+AC0-4.5	+AC0-0.9589091289	+AC0-1.8508407725	+AC0-0.4434899444	+AC0-0.4239039591	0	4.5	BN373+AF8-39851	ERS227112+AF8-01345	ROD+AF8-49431	SL1344+AF8-3016	SL3261+AF8-3016	STMMW+AF8-30001	STM+AF8-MW30001	SEN2883	t2958	EC958+AF8-3171	NCTC13441+AF8-00865	BW25113+AF8-2890	b2890	3	3	2	2	2	2	2	2	2	3	3	3	3	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
metG	methionyl+AC0-tRNA synthetase	+AC0-1.7118048697	+AC0-1.8365059783	+AC0-2.2253640484	+AC0-4.5	+AC0-4.5	+AC0-2.441329557	+AC0-4.5	+AC0-0.8362652109	+AC0-4.5	+AC0-2.7433501962	+AC0-2.2946827749	+AC0-0.8192505389	+AC0-4.5	BN373+AF8-31631	ERS227112+AF8-04019	ROD+AF8-22361	SL1344+AF8-2132	SL3261+AF8-2132	STMMW+AF8-21861	STM+AF8-MW21861	SEN2148	t0701	EC958+AF8-2449	NCTC13441+AF8-01596	BW25113+AF8-2114	b2114	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
pheS	phenylalanyl+AC0-tRNA synthetase, alpha subunit	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.2791328647	+AC0-4.5	+AC0-1.61139254	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-27621	ERS227112+AF8-04497	ROD+AF8-13411	SL1344+AF8-1271	SL3261+AF8-1271	STMMW+AF8-13441	STM+AF8-MW13441	SEN1707	t1218	EC958+AF8-1936	NCTC13441+AF8-02165	BW25113+AF8-1714	b1714	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
pheT	phenylalanyl+AC0-tRNA synthetase, beta subunit	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.8407165536	+AC0-4.5	+AC0-1.4705570857	+AC0-4.5	+AC0-1.2447517562	+AC0-4.5	+AC0-2.737212054	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-27611	ERS227112+AF8-04498	ROD+AF8-13421	SL1344+AF8-1272	SL3261+AF8-1272	STMMW+AF8-13451	STM+AF8-MW13451	SEN1706	t1219	EC958+AF8-1935	NCTC13441+AF8-02166	BW25113+AF8-1713	b1713	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
proS	prolyl+AC0-tRNA synthetase	+AC0-1.7910855238	+AC0-4.5	+AC0-4.5	+AC0-2.0894126233	+AC0-2.0000781697	+AC0-1.255867709	+AC0-4.5	+AC0-1.185220999	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.9601942484	+AC0-4.5	BN373+AF8-06991	ERS227112+AF8-02550	ROD+AF8-02041	SL1344+AF8-0243	SL3261+AF8-0243	STMMW+AF8-02481	STM+AF8-MW02481	SEN0250	t0245	EC958+AF8-0341	NCTC13441+AF8-03781	BW25113+AF8-0194	b0194	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
serS	seryl+AC0-tRNA synthetase	+AC0-1.2313517487	+AC0-4.5	+AC0-4.5	+AC0-2.5258347681	+AC0-2.1495591277	+AC0-4.5	+AC0-4.5	+AC0-1.0678847303	+AC0-4.5	+AC0-2.266706409	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-15411	ERS227112+AF8-03412	ROD+AF8-09571	SL1344+AF8-0901	SL3261+AF8-0901	STMMW+AF8-09751	STM+AF8-MW09751	SEN0868	t1971	EC958+AF8-1005	NCTC13441+AF8-03100	BW25113+AF8-0893	b0893	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
thrS	threonyl+AC0-tRNA synthetase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.6282753795	+AC0-4.5	+AC0-1.9559908459	+AC0-4.5	+AC0-0.5789376513	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-27661	ERS227112+AF8-04492	ROD+AF8-13371	SL1344+AF8-1267	SL3261+AF8-1267	STMMW+AF8-13401	STM+AF8-MW13401	SEN1711	t1213	EC958+AF8-1940	NCTC13441+AF8-02160	BW25113+AF8-1719	b1719	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
trpS	tryptophanyl+AC0-tRNA synthetase	2.7186619774	2.2488527468	+AC0-0.8264310805	2.4281400538	2.4860708611	2.388679529	2.3284329227	2.5025795365	2.7888904888	+AC0-2.5282659622	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-43921	ERS227112+AF8-00830	ROD+AF8-44391	SL1344+AF8-3448	SL3261+AF8-3448	STMMW+AF8-34711	STM+AF8-MW34711	SEN3307	t4024	EC958+AF8-3775	NCTC13441+AF8-00316	BW25113+AF8-3384	b3384	2	2	1	2	2	2	2	2	2	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
tyrS	tyrosyl+AC0-tRNA synthetase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.2101441111	+AC0-4.5	+AC0-1.485668001	+AC0-0.7021489058	+AC0-0.9869619976	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-25561	ERS227112+AF8-04699	ROD+AF8-14301	SL1344+AF8-1381	SL3261+AF8-1381	STMMW+AF8-14521	STM+AF8-MW14521	SEN1598	t1317	EC958+AF8-1860	NCTC13441+AF8-02244	BW25113+AF8-1637	b1637	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
valS	valyl+AC0-tRNA synthetase	+AC0-0.8691893122	+AC0-4.5	+AC0-1.8572976755	+AC0-2.7602528452	+AC0-3.4713368226	+AC0-1.4988252433	+AC0-1.4665770088	+AC0-1.3491919019	+AC0-4.5	+AC0-1.6815252943	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-02801	ERS227112+AF8-02145	ROD+AF8-33241	SL1344+AF8-4405	SL3261+AF8-4405	STMMW+AF8-44211	STM+AF8-MW44211	SEN4228	t4510	EC958+AF8-4752	NCTC13441+AF8-04190	BW25113+AF8-4258	b4258	2	2	2	2	2	2	2	2	2	2	2	2	2	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
glsA	glutaminase	1.924274131	1.5341912034	2.0697236627	2.0500824944	2.2045693215	1.6260301677	1.8410925636	1.2880602833	0.8039099171	2.3631648734	2.0328401183	+AC0-0.0540864247	4.5	BN373+AF8-22121	ERS227112+AF8-05036	ROD+AF8-15191	SL1344+AF8-1455	SL3261+AF8-1455	STMMW+AF8-15251	STM+AF8-MW15251	SEN1526	t1446	EC958+AF8-1780	NCTC13441+AF8-02322	BW25113+AF8-1524	b1524	1	1	1	1	1	1	1	1	1	2	2	2	2	eco00220	Arginine biosynthesis 
cheY	chemotaxis regulator transmitting signal to flagellar motor component	X	X	1.7678906802	1.9909060709	1.8878035594	2.2095504968	+AC0-4.5	1.6066414921	1.4850026352	1.1631076425	0.9611107845	+AC0-0.0855715899	4.5	X	X	ROD+AF8-19301	SL1344+AF8-1851	SL3261+AF8-1851	STMMW+AF8-18991	STM+AF8-MW18991	SEN1087	t0961	EC958+AF8-2104	NCTC13441+AF8-02000	BW25113+AF8-1882	b1882	0	0	1	1	1	1	1	1	1	1	1	1	1	eco02030	Bacterial chemotaxis 
ffh	signal recognition particle protein	+AC0-1.4458346298	+AC0-4.5	+AC0-4.5	+AC0-2.5042030368	+AC0-2.4000267764	+AC0-2.3239087356	+AC0-4.5	+AC0-1.2873580612	+AC0-4.5	+AC0-4.5	+AC0-1.9413495378	+AC0-4.5	+AC0-4.5	BN373+AF8-35871	ERS227112+AF8-01710	ROD+AF8-25601	SL1344+AF8-2650	SL3261+AF8-2650	STMMW+AF8-26911	STM+AF8-MW26911	SEN2598	t2632	EC958+AF8-2912	NCTC13441+AF8-01131	BW25113+AF8-2610	b2610	1	1	1	1	1	1	1	1	1	1	1	1	1	eco03070	Bacterial secretion system 
ftsY	cell division protein FtsY	+AC0-1.4074454644	+AC0-4.5	+AC0-2.3340663714	+AC0-1.1372422641	+AC0-2.4239179276	+AC0-1.3668556133	+AC0-2.1536695855	+AC0-0.4748992468	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.8742417392	+AC0-4.5	BN373+AF8-44651	ERS227112+AF8-00755	ROD+AF8-43571	SL1344+AF8-3536	SL3261+AF8-3536	STMMW+AF8-35601	STM+AF8-MW35601	SEN3394	t3951	EC958+AF8-3858	NCTC13441+AF8-00236	BW25113+AF8-3464	b3464	1	1	1	1	1	1	1	1	1	1	1	1	1	eco03070	Bacterial secretion system 
oxaA	inner membrane protein OxaA	+AC0-4.5	+AC0-2.3452115994	+AC0-1.0557314214	+AC0-2.4515219474	+AC0-3.1091503364	+AC0-3.0983295427	+AC0-4.5	+AC0-1.3263671123	+AC0-4.5	+AC0-2.1959395361	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-47531	ERS227112+AF8-00468	ROD+AF8-40241	SL1344+AF8-3809	SL3261+AF8-3809	STMMW+AF8-38271	STM+AF8-MW38271	SEN3659	t3678	EC958+AF8-4179	NCTC13441+AF8-04811	BW25113+AF8-3705	b3705	1	1	1	1	1	1	1	1	1	1	1	1	1	eco03070	Bacterial secretion system 
secA	preprotein translocase, SecA subunit	+AC0-2.3504851483	+AC0-4.5	+AC0-1.6643624198	+AC0-3.324639951	+AC0-3.2480454273	+AC0-1.768822114	+AC0-2.2910076685	+AC0-0.9075073635	+AC0-3.0658097503	+AC0-3.4251124156	+AC0-2.3008947869	+AC0-4.5	+AC0-4.5	BN373+AF8-05911	ERS227112+AF8-02438A	ROD+AF8-01041	SL1344+AF8-0136	SL3261+AF8-0136	STMMW+AF8-01421	STM+AF8-MW01421	SEN0137	t0140	EC958+AF8-0239	NCTC13441+AF8-15added	BW25113+AF8-0098	b0098	1	1	1	1	1	1	1	1	1	1	1	1	1	eco03070	Bacterial secretion system 
secB	protein+AC0-export chaperone SecB	+AC0-4.5	0.3415819468	+AC0-1.3447486223	1.7134172198	2.5525680652	0.7596235223	1.1660077418	1.6404396691	0.924769354	1.8665094383	0.4701120623	1.5761058954	4.5	BN373+AF8-45951	ERS227112+AF8-00625	ROD+AF8-42071	SL1344+AF8-3667	SL3261+AF8-3667	STMMW+AF8-36891	STM+AF8-MW36891	SEN3523	t3818	EC958+AF8-4017	NCTC13441+AF8-00074	BW25113+AF8-3609	b3609	1	1	1	1	1	1	1	1	1	1	1	1	1	eco03070	Bacterial secretion system 
secD	protein+AC0-export membrane protein SecD	+AC0-1.7595987938	+AC0-4.5	+AC0-1.429193909	+AC0-2.8067251246	+AC0-1.988219254	+AC0-4.5	+AC0-1.4357332419	+AC0-0.6491705716	+AC0-1.2977407538	+AC0-1.0039810667	+AC0-2.4018543231	+AC0-4.5	+AC0-4.5	BN373+AF8-08481	ERS227112+AF8-02710	ROD+AF8-04561	SL1344+AF8-0402	SL3261+AF8-0402	STMMW+AF8-04771	STM+AF8-MW04771	SEN0390	t2456	EC958+AF8-0546	NCTC13441+AF8-03571	BW25113+AF8-0408	b0408	1	1	1	1	1	1	1	1	1	1	1	1	1	eco03070	Bacterial secretion system 
secE	preprotein translocase subunit secE	+AC0-4.5	+AC0-4.5	+AC0-0.9973937429	+AC0-4.5	+AC0-4.5	+AC0-1.0442270767	+AC0-4.5	+AC0-0.5585788987	+AC0-4.5	+AC0-4.5	+AC0-1.2880778793	+AC0-4.5	+AC0-4.5	BN373+AF8-49741	ERS227112+AF8-01828	ROD+AF8-37711	SL1344+AF8-4086	SL3261+AF8-4086	STMMW+AF8-41001	STM+AF8-MW41001	SEN3931	t3480	EC958+AF8-5092	NCTC13441+AF8-04515	BW25113+AF8-3981	b3981	1	1	1	1	1	1	1	1	1	1	1	1	1	eco03070	Bacterial secretion system 
secF	protein+AC0-export membrane protein SecF	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.0655540308	+AC0-1.3443280345	+AC0-4.5	+AC0-4.5	+AC0-0.6105890461	+AC0-4.5	+AC0-0.8274921344	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-08491	ERS227112+AF8-02711	ROD+AF8-04571	SL1344+AF8-0403	SL3261+AF8-0403	STMMW+AF8-04781	STM+AF8-MW04781	SEN0391	t2455	EC958+AF8-0547	NCTC13441+AF8-03570	BW25113+AF8-0409	b0409	1	1	1	1	1	1	1	1	1	1	1	1	1	eco03070	Bacterial secretion system 
secG	preprotein translocase, SecG subunit	2.040650379	+AC0-4.5	1.626785616	2.2002401899	2.3717619181	1.3333575726	1.8261665674	1.7002236067	1.5684892437	2.1736111759	1.6347822167	+AC0-4.5	4.5	BN373+AF8-42351	ERS227112+AF8-01014	ROD+AF8-46581	SL1344+AF8-3264	SL3261+AF8-3264	STMMW+AF8-32911	STM+AF8-MW32911	SEN3126	t3210	EC958+AF8-3575	NCTC13441+AF8-00518	BW25113+AF8-3175	b3175	1	1	1	1	1	1	1	1	1	1	1	1	1	eco03070	Bacterial secretion system 
secM	secretion monitor protein	0.4257301898	1.8009182214	1.5841493416	0.8155797448	1.7249705317	1.6270213521	0.9328954664	0.994969879	1.0735626531	0.2774263076	0.8310615727	1.2418015288	+AC0-4.5	BN373+AF8-05901	ERS227112+AF8-02438	ROD+AF8-01031	SL1344+AF8-0135	SL3261+AF8-0135	STMMW+AF8-01411	STM+AF8-MW01411	SEN0136	t0139	EC958+AF8-0238	NCTC13441+AF8-03888	BW25113+AF8-0097	b0097	1	1	1	1	1	1	1	1	1	1	1	1	1	eco03070	Bacterial secretion system 
secY	preprotein translocase, SecY subunit	+AC0-1.8880438156	+AC0-2.5555756463	+AC0-2.2092303669	+AC0-2.7810797642	+AC0-2.1501118644	+AC0-0.5935677753	+AC0-1.7823136969	+AC0-1.4534033494	+AC0-4.5	+AC0-2.776181497	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-43361	ERS227112+AF8-00887	ROD+AF8-45221	SL1344+AF8-3387	SL3261+AF8-3387	STMMW+AF8-34131	STM+AF8-MW34131	SEN3248	t4085	EC958+AF8-3693	NCTC13441+AF8-00395	BW25113+AF8-3300	b3300	1	1	1	1	1	1	1	1	1	1	1	1	1	eco03070	Bacterial secretion system 
tatE	twin arginine+AC0-targeting protein translocase, TatA/E family	2.2339914919	2.2007633622	2.9241072681	2.2004664578	2.0661526565	1.7256435412	+AC0-4.5	1.2723982718	1.5429323923	2.5112780326	1.7918991909	1.4859640585	4.5	BN373+AF8-12391	ERS227112+AF8-03101	ROD+AF8-06411	SL1344+AF8-0620	SL3261+AF8-0620	STMMW+AF8-06971	STM+AF8-MW06971	SEN0601	t2235	EC958+AF8-0745	NCTC13441+AF8-03368	BW25113+AF8-0627	b0627	2	1	1	2	2	2	2	2	2	1	1	1	1	eco03070	Bacterial secretion system 
tolC	outer membrane protein TolC	2.6182513639	+AC0-2.4728287684	2.2600198166	1.7161808379	2.6878047071	2.3161031907	1.5698703908	2.1027623971	2.1650216852	2.0224312653	2.1898770442	2.2987666698	4.5	BN373+AF8-41011	ERS227112+AF8-01159	ROD+AF8-35821	SL1344+AF8-3160	SL3261+AF8-3160	STMMW+AF8-31461	STM+AF8-MW31461	SEN3029	t3107	EC958+AF8-3438	NCTC13441+AF8-00660	BW25113+AF8-3035	b3035	1	1	2	1	1	1	1	1	1	1	1	1	1	eco03070	Bacterial secretion system 
ligA	DNA ligase, NAD+AC0-dependent	+AC0-1.8978812435	+AC0-4.5	+AC0-1.6655786484	+AC0-2.9193136466	+AC0-4.5	+AC0-1.8187412283	+AC0-1.5667557362	+AC0-1.7460126263	+AC0-4.5	+AC0-4.5	+AC0-2.2510425643	+AC0-2.2527592049	+AC0-4.5	BN373+AF8-34161	ERS227112+AF8-03821	ROD+AF8-23701	SL1344+AF8-2390	SL3261+AF8-2390	STMMW+AF8-24461	STM+AF8-MW24461	SEN2408	t0431	EC958+AF8-5024	NCTC13441+AF8-01307	BW25113+AF8-2411	b2411	2	2	2	2	2	2	2	2	1	2	2	2	2	eco03410	Base excision repair 
polA	DNA polymerase I	1.5166048373	+AC0-4.5	1.4818580185	0.1911740947	1.0835943715	+AC0-1.2622244056	+AC0-0.8398417362	+AC0-1.4205652563	+AC0-2.4851800505	1.0619313131	0.4679792727	+AC0-0.3795897634	+AC0-4.5	BN373+AF8-48041	ERS227112+AF8-00414	ROD+AF8-38971	SL1344+AF8-3947	SL3261+AF8-3947	STMMW+AF8-39641	STM+AF8-MW39641	SEN3788	t3621	EC958+AF8-4341	NCTC13441+AF8-04638	BW25113+AF8-3863	b3863	1	1	1	1	1	1	1	1	1	1	1	1	1	eco03410	Base excision repair 
acrA	acriflavine resistance protein A	2.4547459247	+AC0-4.5	2.4841393351	1.3940436639	2.7025071793	2.4471681459	1.8167132263	1.9980365437	2.1686121094	1.4359518273	2.1765952402	2.2126261364	4.5	BN373+AF8-09321	ERS227112+AF8-02797	ROD+AF8-05181	SL1344+AF8-0469	SL3261+AF8-0469	STMMW+AF8-05461	STM+AF8-MW05461	SEN0457	t2384	EC958+AF8-0602	NCTC13441+AF8-03515	BW25113+AF8-0463	b0463	6	6	3	4	4	4	4	4	2	5	5	4	4	eco01501	beta+AC0-Lactam resistance 
acrB	acriflavine resistance protein B	2.5720722282	+AC0-4.5	2.2491501829	1.6149189161	2.5160652036	2.0631361827	1.5403672966	2.0007982741	2.1639071306	1.3722519411	2.0700217649	2.6042114086	4.5	BN373+AF8-09311	ERS227112+AF8-02796	ROD+AF8-05171	SL1344+AF8-0468	SL3261+AF8-0468	STMMW+AF8-05451	STM+AF8-MW05451	SEN0456	t2385	EC958+AF8-0601	NCTC13441+AF8-03516	BW25113+AF8-0462	b0462	12	12	5	6	6	6	6	6	4	8	8	7	7	eco01501	beta+AC0-Lactam resistance 
ftsI	peptidoglycan synthetase FtsI	+AC0-1.9422305077	+AC0-4.5	+AC0-2.3567315436	+AC0-2.2218354335	+AC0-4.5	+AC0-2.7441098925	+AC0-4.5	+AC0-1.0012424099	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-05771	ERS227112+AF8-02425	ROD+AF8-00901	SL1344+AF8-0122	SL3261+AF8-0122	STMMW+AF8-01281	STM+AF8-MW01281	SEN0123	t0126	EC958+AF8-0224	NCTC13441+AF8-03901	BW25113+AF8-0084	b0084	4	4	3	4	4	4	4	4	3	2	2	2	2	eco01501	beta+AC0-Lactam resistance 
mrdA	penicillin+AC0-binding protein 2	+AC0-0.4940564391	+AC0-0.4018848093	0.0123107729	+AC0-1.0677907859	0.0856022003	+AC0-1.7518391105	+AC0-4.5	+AC0-0.3204047595	+AC0-4.5	+AC0-0.0714878394	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-12471	ERS227112+AF8-03109	ROD+AF8-06531	SL1344+AF8-0628	SL3261+AF8-0628	STMMW+AF8-07051	STM+AF8-MW07051	SEN0609	t2227	EC958+AF8-0754	NCTC13441+AF8-03360	BW25113+AF8-0635	b0635	4	4	3	4	4	4	4	4	3	2	2	2	2	eco01501	beta+AC0-Lactam resistance 
